# claude — a handwritten pipeline-stress / coverage suite.
#
# This suite is for *testing the pp2lp pipeline*, not for staying green.  It
# deliberately spans the whole rule space (every PP family) and the whole
# proof-size span (one-rule leaves → 200+-rule proofs), AND it probes the known
# frontier: set-equality / equality-congruence, arithmetic antisymmetry and
# double-negation (AR4/AR7/AR8), INS over rewritten hyps, NAT membership, and
# existential/quantifier shapes REPLAY mishandles.  Authored by hand, grouped by
# what each section tests.
#
# INVARIANT: every goal is a genuine theorem submitted to PP as the BARE goal —
# no hypotheses, no goal-as-hypothesis self-promotion.  PP proves it outright,
# closing the goal's free variables universally and inferring their types from
# context.  A goal PP cannot prove produces no .trace and is rejected at gen time
# (see the guardrail in gen_traces), so it does not belong here.  (Mind PP's
# parser: `<=>` binds tighter than `&`, and `=>` is left-associative —
# parenthesise accordingly, e.g. `(a & b) <=> (b & a)`, `x<=y => (y<=x => x=y)`.)
#
# Format: name | kind | goal
#   prop  — bare identifiers are propositional variables
#   expr  — bare identifiers are expression variables (sets / functions / ints)
#
# `goals.txt` is the source of truth — regenerate with `pp2lp gen claude`,
# check with `pp2lp run claude`.  Coverage notes (→ RULE) are intended targets;
# measure actual firings from the generated `.replay` files.  Some goals are
# theorems pp2lp cannot yet *translate* (Farkas, AR4/AR7/AR8, …); those fail at
# the lambdapi-check stage, not at PP — a signal about the pipeline frontier.

# ════════════════════════════════════════════════════════════════════════
# A. Propositional connectives — AND / OR / NOT, tiny → medium  (AND*, OR*, NOT*)
# ════════════════════════════════════════════════════════════════════════

# leaves (1–3 rules)

# identity / idempotence
p_imp_self        | prop | a => a
imp_curry         | prop | ((a & b) => c) <=> (a => (b => c))
imp_permute       | prop | (a => (b => c)) => (b => (a => c))
imp_to_or         | prop | (a => b) => not(a) or b
imp_from_or       | prop | not(a) or b => (a => b)
imp_neg           | prop | not(a => b) => a & not(b)
imp_peirce        | prop | ((a => b) => a) => a
imp_dist          | prop | (a => b => c) => ((a => b) => (a => c))
imp_cases         | prop | (a => c) & (b => c) => (a or b => c)
imp_syll          | prop | (a => b) & (b => c) => (a => c)
imp_syll4         | prop | (a => b) & (b => c) & (c => d) => (a => d)
imp_syll5         | prop | (a => b) & (b => c) & (c => d) & (d => e) => (a => e)
imp_chain_use     | prop | a & (a => b) & (b => c) & (c => d) => d

# ════════════════════════════════════════════════════════════════════════
# C. Equivalence — EQV family
# ════════════════════════════════════════════════════════════════════════

eqv_sym           | prop | (a <=> b) => (b <=> a)
eqv_trans         | prop | (a <=> b) & (b <=> c) => (a <=> c)
eqv_trans4        | prop | (a <=> b) & (b <=> c) & (c <=> d) => (a <=> d)
eqv_to_imp        | prop | (a <=> b) => (a => b) & (b => a)
eqv_from_imp      | prop | (a => b) & (b => a) => (a <=> b)
eqv_neg_both      | prop | (a <=> b) <=> (not(a) <=> not(b))
eqv_neg_shift     | prop | (not(a) <=> b) <=> (a <=> not(b))
eqv_mp            | prop | a & (a <=> b) => b
eqv_cong_and      | prop | (a <=> b) => ((a & c) <=> (b & c))
# non-trivial equiv work (these don't collapse to a hypothesis match → EQV1/EQV2)
eqv_contra        | prop | not(p <=> p) => q
eqv_self_neg      | prop | not(p <=> not(p))
eqv_mutual        | prop | ((a => b) & (b => a)) <=> (a <=> b)
eqv_iff_split     | prop | (a <=> b) <=> ((a => b) & (b => a))

# ════════════════════════════════════════════════════════════════════════
# D. Equality — EVR / OPR / EQC / ECTR / EQS, tiny → large
# ════════════════════════════════════════════════════════════════════════

eq_refl           | expr | x = x
eq_sym            | expr | x = y => y = x
eq_trans          | expr | x = y & y = z => x = z
eq_chain4         | expr | w = x & x = y & y = z => w = z
eq_chain5         | expr | v = w & w = x & x = y & y = z => v = z
eq_chain6         | expr | u = v & v = w & w = x & x = y & y = z => u = z
eq_fun_cong       | expr | x = y => f(x) = f(y)
eq_fun_cong2      | expr | x = y => f(g(x)) = f(g(y))
eq_fun_arg2       | expr | x = y => f(z, x) = f(z, y)
eq_fun_chain      | expr | f(x) = g(y) & g(y) = h(z) => f(x) = h(z)
eq_fun_deep       | expr | f(g(h(x))) = w & h(x) = y & g(y) = z => f(z) = w
eq_subst_mem      | expr | x = y & x: s => y: s
eq_subst_mem_sym  | expr | x = y & y: s => x: s
eq_subst_neg      | expr | x = y & not(x: s) => not(y: s)
eq_subst_arith    | expr | x = y & x <= z => y <= z
eq_subst_two      | expr | x = y & z = w & x: s & z: t => y: s & w: t
# set equality (→ EQS / eql_set)
eq_set_singleton  | expr | {x} = {x}
eq_set_pair       | expr | {x, y} = {x, y}
eq_set_union      | expr | s \/ t = s \/ t
eq_set_inter      | expr | s /\ t = s /\ t
eq_set_pair_swap  | expr | {x, y} = {y, x}
# equality contradiction (→ ECTR / FX / STOP)
eq_contra         | expr | x = y & not(x = y) => bfalse
eq_contra_chain   | expr | x = y & y = z & not(x = z) => bfalse

# ════════════════════════════════════════════════════════════════════════
# E. Membership & sets — AXM family, tiny → medium
# ════════════════════════════════════════════════════════════════════════

set_in_singleton  | expr | x: {x}
set_in_pair_l     | expr | x: {x, y}
set_in_pair_r     | expr | y: {x, y}
set_in_triple     | expr | z: {x, y, z}
set_in_quad       | expr | w: {x, y, z, w}
set_in_union_l    | expr | x: s => x: s \/ t
set_in_union_r    | expr | x: t => x: s \/ t
set_in_inter      | expr | x: s & x: t => x: s /\ t
set_in_inter_l    | expr | x: s /\ t => x: s
set_in_inter_r    | expr | x: s /\ t => x: t
set_inter_to_union| expr | x: s /\ t => x: s \/ t
set_in_pow        | expr | s: POW(s)
set_empty_pow     | expr | {} : POW(s)

# subset (→ AXM / NRM, small → medium)
sub_refl          | expr | s <: s
sub_trans         | expr | s <: t & t <: u => s <: u
sub_trans4        | expr | s <: t & t <: u & u <: v => s <: v
sub_inter_l       | expr | s /\ t <: s
sub_inter_r       | expr | s /\ t <: t
sub_union_l       | expr | s <: s \/ t
sub_union_r       | expr | t <: s \/ t
sub_inter_glb     | expr | u <: s & u <: t => u <: s /\ t
sub_union_lub     | expr | s <: u & t <: u => s \/ t <: u
sub_empty         | expr | {} <: s
sub_singleton     | expr | x: s => {x} <: s
sub_singleton_iff | expr | x: s <=> {x} <: s
sub_pair          | expr | {x} <: s & {y} <: s => {x, y} <: s
sub_in_pow        | expr | s: POW(t) <=> s <: t
sub_union_mono    | expr | s <: t => s \/ u <: t \/ u
sub_inter_mono    | expr | s <: t => s /\ u <: t /\ u
sub_self_union    | expr | s \/ s <: s
sub_self_inter    | expr | s <: s /\ s

# ════════════════════════════════════════════════════════════════════════
# G. Universal quantifier — ALL / NRM family, medium → large
# ════════════════════════════════════════════════════════════════════════

all_refl_body     | expr | !x.(x: s => x: s)
all_inter_intro   | expr | !x.(x: s => x: a) & !x.(x: s => x: b) => !x.(x: s => x: a & x: b)
all_distrib_and   | expr | !x.((x: s => (x: a & x: b))) <=> (!x.((x: s => x: a)) & !x.((x: s => x: b)))
all_nested        | expr | !x.(!y.((x: s => (y: t => x: s))))
all_swap          | expr | !x.!y.(x: s & y: t => x, y: r) => !y.!x.(y: t & x: s => x, y: r)
all_point_mono    | expr | !x.(x: s => x: t) & a: s => a: t
all_point_trans   | expr | !x.(x: s => x: t) & !x.(x: t => x: u) => !x.(x: s => x: u)

# ════════════════════════════════════════════════════════════════════════
# H. Existential quantifier — XST family (deliberately broad; coverage gap)
# ════════════════════════════════════════════════════════════════════════

xst_eq            | expr | #x.(x = a)
xst_mem           | expr | a: s => #x.(x: s)
xst_witness       | expr | a: s & a: t => #x.(x: s & x: t)
xst_weaken        | expr | a: s => #x.(x: s or x: t)
xst_eq_mem        | expr | a: s => #x.(x = a & x: s)
xst_from_all      | expr | !x.(x: s => x: t) & a: s => #x.(x: t)
xst_pair          | expr | a: s & b: t => #x.#y.(x: s & y: t)
xst_swap          | expr | #x.#y.(x: s & y: t) => #y.#x.(x: s & y: t)
xst_in_dom        | expr | a: dom(f) => #x.(x: dom(f))
xst_app           | expr | a: dom(f) & f(a) = b => #x.(f(x) = b)
xst_refute        | expr | a: s & not(a: t) => #x.(x: s & not(x: t))
# existential under a universal (witness is the ∀-bound var): HO-unification
# frontier — AXM9_1 inh_tuple witness + ALL7/XST8 chain Res won't resolve (open).
xst_under_all     | expr | !x.(x: s => x: t) => !x.(x: s => #y.(y: t))

# ════════════════════════════════════════════════════════════════════════
# I. Boolean — BOOL family (concrete btrue/bfalse only; PP can't do a: BOOL)
# ════════════════════════════════════════════════════════════════════════

bool_eq_self      | expr | x = TRUE => x = TRUE
bool_subst        | expr | x = TRUE & x = y => y = TRUE

# ════════════════════════════════════════════════════════════════════════
# J. Arithmetic — AR family, tiny → medium
# ════════════════════════════════════════════════════════════════════════

ar_leq_refl       | expr | x <= x
ar_leq_trans      | expr | x <= y & y <= z => x <= z
ar_leq_trans4     | expr | x <= y & y <= z & z <= w => x <= w
ar_leq_antisym    | expr | x <= y & y <= x => x = y
ar_lt_trans       | expr | x < y & y < z => x < z
ar_lt_to_leq      | expr | x < y => x <= y
ar_leq_to_lt      | expr | x <= y & not(x = y) => x < y
ar_add_comm       | expr | x + y = y + x
ar_add_assoc      | expr | (x + y) + z = x + (y + z)
ar_add_zero_l     | expr | 0 + x = x
ar_add_zero_r     | expr | x + 0 = x
ar_sub_zero       | expr | x - 0 = x
ar_sub_self       | expr | x - x = 0
ar_sub_add        | expr | (x - y) + y = x
ar_add_sub        | expr | (x + y) - y = x
ar_add_mono_r     | expr | x <= y => x + z <= y + z
ar_add_mono_l     | expr | x <= y => z + x <= z + y
ar_add_mono2      | expr | x <= y & z <= w => x + z <= y + w
ar_add_comm_leq   | expr | x + y <= z => y + x <= z
ar_add_assoc_leq  | expr | (x + y) + z <= w => x + (y + z) <= w
ar_bounds_neg     | expr | x <= 0 & y <= 0 => x + y <= 0
ar_bounds_pos     | expr | 0 <= x & 0 <= y => 0 <= x + y
ar_bounds_pos3    | expr | 0 <= x & 0 <= y & 0 <= z => 0 <= x + y + z
ar_sub_leq        | expr | x - y <= 0 => x <= y
ar_leq_sub        | expr | x + y <= z => x <= z - y
ar_add_pos        | expr | 0 <= y => x <= x + y
ar_sub_pos        | expr | 0 <= y => x - y <= x

# ════════════════════════════════════════════════════════════════════════
# K. Quantified arithmetic & contradiction — NRM-arith / INS / FX / STOP
# ════════════════════════════════════════════════════════════════════════

qar_leq_refl      | expr | !x.(x <= x)
qar_antisym       | expr | !x.(!y.((x <= y => (y <= x => x = y))))
qar_trans         | expr | !x.(!y.(!z.((x <= y => (y <= z => x <= z)))))
qar_ins           | expr | !x.(x + 1 <= y => not(y <= x))
ctr_prop          | prop | a & not(a) => bfalse
ctr_mem           | expr | x: s & not(x: s) => bfalse
ctr_subst         | expr | x = y & x: s & not(y: s) => bfalse
ctr_all           | expr | !x.(x: s => not(x: t)) & a: s & a: t => bfalse
ctr_all_pos       | expr | !x.(x: s => x: t) & a: s & not(a: t) => bfalse
ctr_arith         | expr | x <= y & y <= x & not(x = y) => bfalse

# ════════════════════════════════════════════════════════════════════════
# L. FRONTIER: set equality & equality congruence  (EQS / ECTR / eql_set)
#    These force structural set-equality reasoning, the documented LP gap —
#    expected ✗.  Kept to exercise the EQS/ECTR emit + check path.
# ════════════════════════════════════════════════════════════════════════

eqc_subst_set     | expr | s = t & x: s => x: t
eqc_union_cong    | expr | s = t => s \/ u = t \/ u
eqc_inter_cong    | expr | s = t => s /\ u = t /\ u
eqc_pair_swap     | expr | {x, y} = {y, x}
eqc_subset_antisym| expr | s <: t & t <: s => s = t
eqc_pow_mono      | expr | s <: t => POW(s) <: POW(t)
eqc_app_cong_set  | expr | s = t => f(s) = f(t)

# ════════════════════════════════════════════════════════════════════════
# M. FRONTIER: arithmetic — antisymmetry, double-negation, cancellation, NAT
#    Hits AR4/AR7/AR8 (need the solver's witness, never in the replay) and the
#    NAT-membership blow-up (RLIMIT_AS / timeout capped).  Expected ✗/⚠.
# ════════════════════════════════════════════════════════════════════════

arf_antisym_neg   | expr | !x.!y.(-x + y <= 0 & x - y <= 0 => x = y)
arf_antisym_neg2  | expr | !x.!y.(x - y <= 0 & -x + y <= 0 => y = x)
arf_neg_neg       | expr | !x.(not(not(x <= y)) => x <= y)
arf_cancel_r      | expr | x + z = y + z => x = y

# ════════════════════════════════════════════════════════════════════════
# N. FRONTIER: INS contradiction over arithmetic-rewritten hypotheses
#    PP rewrites hyps before the INS leaf; find_ins_contradiction may miss the
#    structural match or pick the wrong compound witness (→ NRM24/27-30).
# ════════════════════════════════════════════════════════════════════════

nar_ins1          | expr | !x.(x + 1 <= y => not(y <= x))
nar_ins_succ      | expr | !x.(not(x + 1 <= x))
nar_nat_quant     | expr | !x.(x: NAT => 0 <= x)
# x + x normalises to the coefficient form 2*x — the `*` parser gap (now fixed,
# desugared to x+x); this goal now reaches the next gap, PP's `[ARITH] <FAUX>`
# solver terminal (not in rule_db).
nar_leq_zero      | expr | !x.(x <= 0 => x + x <= 0)

# ════════════════════════════════════════════════════════════════════════
# O. FRONTIER: existential / compound-binder shapes REPLAY mishandles (XST2/6)
# ════════════════════════════════════════════════════════════════════════

xstf_triple       | expr | a: s & b: t & c: u => #x.#y.#z.(x: s & y: t & z: u)
xstf_pair_binder  | expr | a, b: r => #(x, y).(x, y: r)
# type-checks through the new NRM3_1/NRM23_1 lemmas; remaining blocker is the
# existential-under-universal HO-unification frontier (shared with xst_under_all):
# AXM9_1 hardcodes the inh_tuple witness AND the ALL7/XST8 chain Res won't resolve.
xstf_all_exists   | expr | !x.(x: s => x: t) => !x.(x: s => #y.(x = y & y: t))
xstf_dom_witness  | expr | a: dom(f) & f(a) = b => #x.(x: dom(f) & f(x) = b)
xstf_swap_compound| expr | #(x, y).(x, y: r) => #(y, x).(y, x: r)

# ════════════════════════════════════════════════════════════════════════
# P. Deep / large proofs — push the high end of the size span (NRM/Res chains)
# ════════════════════════════════════════════════════════════════════════

big_eq_chain8     | expr | a1 = a2 & a2 = a3 & a3 = a4 & a4 = a5 & a5 = a6 & a6 = a7 & a7 = a8 => a1 = a8
big_sub_chain6    | expr | s <: t & t <: u & u <: v & v <: w & w <: r => s <: r
big_leq_chain6    | expr | x <= y & y <= z & z <= w & w <= v & v <= r => x <= r
# cascade ≥3 conjuncts: was right-assoc A∧(B∧C) vs NRM7's left-assoc peel — fixed
# by making IMP1_1 list-preserving (mk_res, not mk_1) so the ⋀-list stays flat.
big_mixed         | expr | !x.(x: s => x: t) & !x.(x: t => x: u) & !x.(x: u => x: v) => !x.(x: s => x: v)

# ════════════════════════════════════════════════════════════════════════
# 2026-06-09 expansion: sections Q–Z take the suite to ~500 goals.
# Same charter — pipeline stress + bug hunting, not a guaranteed-green gate.
# Sections X (ARITH solver terminal) and Y (AXM*-discharged chain elements)
# are the test beds for the ARITH certificate and the trust-free AXM*_1 work.
# ════════════════════════════════════════════════════════════════════════

# ════════════════════════════════════════════════════════════════════════
# Q. Propositional, deeper and wider — classical shapes, ⇔ algebra
# ════════════════════════════════════════════════════════════════════════

q2_imp_join       | prop | (a => c) & (b => c) & (a or b) => c
q2_case_split     | prop | (a => b) & (not(a) => b) => b
q2_peirce         | prop | ((a => b) => a) => a
q2_contrapos      | prop | (a => b) => (not(b) => not(a))
q2_contrapos_rev  | prop | (not(b) => not(a)) => (a => b)
q2_modus_tollens  | prop | (a => b) & not(b) => not(a)
q2_imp_trans3     | prop | (a => b) & (b => c) & (c => d) => (a => d)
q2_or4_comm       | prop | a or b or c or d => d or c or b or a
q2_and4_comm      | prop | a & b & c & d => d & c & b & a
q2_or_idem3       | prop | a or a or a => a
q2_and_over_or    | prop | a & (b or c) => (a & b) or (a & c)
q2_or_over_and    | prop | (a or b) & (a or c) => a or (b & c)
q2_demorgan4      | prop | not(a or b or c or d) => not(a) & not(b) & not(c) & not(d)
q2_demorgan_mix   | prop | not(a & b) or not(c & d) => not(a & b & c & d)
q2_neg3           | prop | not(not(not(a))) => not(a)
q2_neg4           | prop | not(not(not(not(a)))) => a
q2_imp_weaken     | prop | a => (b => a)
q2_imp_swap_args  | prop | (a => (b => c)) => (b => (a => c))
q2_imp_dup        | prop | (a => (a => b)) => (a => b)
q2_curry          | prop | (a & b => c) => (a => (b => c))
q2_uncurry        | prop | (a => (b => c)) => (a & b => c)
q2_absorb_chain   | prop | a & (a or b) & (a or c) => a
q2_or_absorb_deep | prop | a or (a & b & c) => a
q2_xorish         | prop | (a or b) & not(a & b) & a => not(b)
q2_iff_or_cong    | prop | (a <=> b) => (a or c <=> b or c)
q2_iff_not_flip   | prop | (a <=> b) <=> (not(b) <=> not(a))
q2_iff_chain5     | prop | (a <=> b) & (b <=> c) & (c <=> d) & (d <=> e) => (a <=> e)
q2_iff_and_proj   | prop | ((a & b) <=> a) <=> (a => b)
q2_cond_join      | prop | (a => b) or (b => a)
q2_dn_imp         | prop | not(not(a => b)) => (not(not(a)) => not(not(b)))
q2_neg_imp_and    | prop | not(a => b) => a & not(b)
q2_and_neg_imp    | prop | a & not(b) => not(a => b)
q2_or_as_imp      | prop | (not(a) or b) <=> (a => b)
q2_parallel_cases | prop | (a => b) & (c => d) & (a or c) => b or d
q2_em             | prop | a or not(a)
q2_noncontra      | prop | not(a & not(a))
q2_imp_refl_deep  | prop | ((a => a) => b) => b
q2_weak_const     | prop | a & b => (c => a)
q2_or_intro_deep  | prop | a => ((a or b) or c) or d
q2_triple_mix     | prop | (a & b) or (a & c) or (a & d) => a
q2_wide_or8       | prop | a => a or b or c or d or e or g or h or i
q2_wide_and8      | prop | a & b & c & d & e & g & h & i => e
q2_release        | prop | (a => b & c) & a => c

# ════════════════════════════════════════════════════════════════════════
# R. Universals, deeper — wide binder blocks, instantiation, monotone bodies
# ════════════════════════════════════════════════════════════════════════

u2_all4_chain     | expr | !x.(x: a => x: b) & !x.(x: b => x: c) & !x.(x: c => x: d) & !x.(x: d => x: e) => !x.(x: a => x: e)
u2_all_and_or     | expr | !x.(x: s => x: a & x: b) => !x.(x: s => x: a or x: c)
u2_all_pair_proj  | expr | !x.!y.(x,y: r => x: s & y: t) => !x.!y.(x,y: r => y: t)
u2_all_swap3      | expr | !x.!y.!z.(x: a => y: b => z: c) => !z.!y.!x.(x: a => y: b => z: c)
u2_all5_wide      | expr | !x.!y.!z.!v.!w.(x: a & y: b & z: c & v: d & w: e => x: a & w: e)
u2_all_const_body | expr | p => !x.!y.(x: s => p)
u2_all_inst2      | expr | !x.(x: s => x: t) & a: s & b: s => a: t & b: t
u2_all_pair_inst  | expr | !x.!y.(x,y: r => y,x: q) & a,b: r => b,a: q
u2_mono_union     | expr | !x.(x: s => x: t) => !x.(x: s \/ u => x: t \/ u)
u2_mono_inter     | expr | !x.(x: s => x: t) => !x.(x: s /\ u => x: t /\ u)
u2_all_neg_body   | expr | !x.(x: s => not(x: t)) & a: s & a: t => bfalse
u2_sub_then_all   | expr | s <: t & !x.(x: t => x: u) => !x.(x: s => x: u)
u2_deep_imp_inst  | expr | !x.(x: a => x: b => x: c => x: d) & a1: a & a1: b & a1: c => a1: d
u2_all_conj_wide  | expr | !x.(x: s => x: a & x: b & x: c & x: d & x: e & x: g & x: h) => !x.(x: s => x: d)
u2_or_cases_all   | expr | !x.(x: s => x: a or x: b) & !x.(x: a => x: c) & !x.(x: b => x: c) => !x.(x: s => x: c)
u2_vacuous2       | expr | !x.!y.(x: s & not(x: s) => y: t)
u2_all_and_keep   | expr | p & !x.(x: s => x: t) => !x.(x: s => x: t) & p
u2_all_dom_inst   | expr | !x.(x: dom(f) => x: s) & a: dom(f) => a: s
u2_all_app_mem    | expr | !x.(x: dom(f) => f(x): t) & a: dom(f) => f(a): t
u2_all_app_eq     | expr | !x.(x: s => f(x) = g(x)) & a: s => f(a) = g(a)
u2_all_arith_body | expr | !x.(x: s => 0 <= x) & a: s => 0 <= a
u2_all_leq_bound  | expr | !x.(x: s => x <= y) & a: s => a <= y
u2_pair_sym_inst  | expr | !x.!y.(x,y: r => y,x: r) & a,b: r => b,a: r
u2_two_alls_inst  | expr | !x.(x: a => x: b) & !y.(y: b => y: c) & a1: a => a1: c
u2_rel_chain      | expr | !x.!y.(x,y: r => x,y: q) & !x.!y.(x,y: q => x,y: w) => !x.!y.(x,y: r => x,y: w)
u2_all_eq_body    | expr | !x.(x: s => x = a) & b: s => b = a
u2_all_fun_ext    | expr | !x.(f(x) = g(x)) => f(c) = g(c)
u2_all_pow_mem    | expr | s <: t => !x.(x: POW(s) => x: POW(t))
u2_all_notnot     | expr | !x.(x: s => not(not(x: t))) => !x.(x: s => x: t)
u2_split_nested   | expr | !x.(x: s => (x: a & x: b) & x: c) => !x.(x: s => x: b)
u2_or_antecedent  | expr | !x.(x: s or x: t => x: u) => !x.(x: s => x: u)

# ════════════════════════════════════════════════════════════════════════
# S. Existentials, deeper — alternations, witnesses from hyps, classical duals
# ════════════════════════════════════════════════════════════════════════

x2_pair_witness   | expr | a,b: r => #x.#y.(x,y: r)
x2_compound_pair  | expr | a,b: r => #(x, y).(x,y: r)
x2_proj_left      | expr | #x.(x: s & x: t) => #x.(x: s)
x2_weaken_or      | expr | #x.(x: s) => #x.(x: s or x: t)
x2_proj_middle    | expr | #x.(x: s & x: t & x: u) => #x.(x: t & x: u)
x2_eq_collapse    | expr | #x.(x = a & x: s) => a: s
x2_app_value      | expr | a: dom(f) => #x.(x = f(a))
x2_from_all_and   | expr | a: s & !x.(x: s => x: t) => #x.(x: t & x: s)
x2_two_insts      | expr | !x.(x: s => #y.(x,y: r)) & a: s & b: s => #y.(a,y: r) & #y.(b,y: r)
x2_under_all_eq   | expr | !x.(x: s => x: t) => !x.(x: s => #y.(y: t & y = x))
x2_triple_rev     | expr | a: s & b: t & c: u => #z.#y.#x.(x: s & y: t & z: u)
x2_app_pair_wit   | expr | a: dom(f) & f(a): t => #x.(x: dom(f) & f(x): t)
x2_union_wit      | expr | #x.(x: s) => #x.(x: s \/ t)
x2_inter_split    | expr | #x.(x: s /\ t) => #x.(x: s) & #x.(x: t)
x2_and_swap       | expr | #x.(x: s & x: t) => #x.(x: t & x: s)
x2_dom_transfer   | expr | #x.(x: dom(f)) & !y.(y: dom(f) => y: s) => #x.(x: s)
x2_counterexample | expr | #x.(x: s & not(x: t)) => not(!y.(y: s => y: t))
x2_not_all        | expr | not(!x.(x: s => x: t)) => #x.(x: s & not(x: t))
x2_const_keep     | expr | p & a: s => #x.(p & x: s)
x2_eq_self        | expr | #x.(x = a)
x2_two_eq_wits    | expr | #x.#y.(x = y)
x2_app_graph      | expr | a: s & f(a) = b => #x.#y.(x: s & f(x) = y)
x2_under_all_app  | expr | !x.(x: s => f(x) = g(x)) => !x.(x: s => #y.(f(x) = y & g(x) = y))
x2_sub_transfer   | expr | #x.(x: s) & s <: t => #x.(x: t)
x2_swap_quants    | expr | #x.!y.(x,y: r) => !y.#x.(x,y: r)
x2_dn_exists      | expr | not(not(#x.(x: s))) => #x.(x: s)
x2_drinker_use    | expr | #x.(x: s => p) & !x.(x: s) => p
x2_empty_contra   | expr | #x.(x: s) & !y.(not(y: s)) => bfalse
x2_pair_fst       | expr | #(x, y).(x,y: r & x: s) => #x.(x: s)
x2_nested_two     | expr | #x.(x: s & #y.(y: t)) => #y.(y: t) & #x.(x: s)
x2_wit_from_eq    | expr | f(a) = b => #x.(f(x) = b)
x2_all_to_some    | expr | !x.(x: s => x: t) & #x.(x: s) => #x.(x: t)
x2_or_witness     | expr | a: s or a: t => #x.(x: s or x: t)

# ════════════════════════════════════════════════════════════════════════
# T. Set operations — ∪ ∩ ⊆ POW, enumerated sets, set equality (EQS/ECTR)
# ════════════════════════════════════════════════════════════════════════

st_inter_sub_l    | expr | s /\ t <: s
st_inter_sub_r    | expr | s /\ t <: t
st_sub_union_l    | expr | s <: s \/ t
st_sub_union_r    | expr | t <: s \/ t
st_union_comm_mem | expr | x: s \/ t => x: t \/ s
st_inter_comm_mem | expr | x: s /\ t => x: t /\ s
st_union_assoc    | expr | x: (s \/ t) \/ u => x: s \/ (t \/ u)
st_inter_assoc    | expr | x: (s /\ t) /\ u => x: s /\ (t /\ u)
st_distrib_mem    | expr | x: s /\ (t \/ u) => x: (s /\ t) \/ (s /\ u)
st_distrib_mem2   | expr | x: (s \/ t) /\ (s \/ u) => x: s \/ (t /\ u)
st_union_mono2    | expr | s <: t & u <: v => s \/ u <: t \/ v
st_inter_mono2    | expr | s <: t & u <: v => s /\ u <: t /\ v
st_sub_inter_in   | expr | s <: t & s <: u => s <: t /\ u
